Word;DocNumber;Weight
AB;1178;0.0925047617999881
ABANDON;90;0.06656884727662694
ABANDONED;550;0.028153623156518114
ABDOMEN;1063;0.1271940474749836
ABDOMENS;37;0.039571481436661574
ABDOMINAL;37;0.047805266699688084
ABDOMINAL;95;0.05279109206100525
ABDOMINAL;149;0.06327167651429305
ABDOMINAL;182;0.08273988467253708
ABDOMINAL;202;0.07592601181715167
ABDOMINAL;240;0.09778350006754381
ABDOMINAL;314;0.01570245986486105
ABDOMINAL;364;0.031635838257146526
ABDOMINAL;475;0.11422497353022817
ABDOMINAL;478;0.04577100003161625
ABDOMINAL;594;0.049453724172091124
ABDOMINAL;643;0.016741143980435517
ABDOMINAL;659;0.051837036180384675
ABDOMINAL;727;0.0642160298951034
ABDOMINAL;801;0.04218111767619537
ABDOMINAL;902;0.031635838257146526
ABDOMINAL;1063;0.07682989291021299
ABERRANT;114;0.06840984685792194
ABERRANT;410;0.04528539158200466
ABERRATIONS;117;0.06124310099661583
ABERRATIONS;360;0.026905964872990216
ABETALIPOPROTINAEMIA;1088;0.05124364502589269
ABH;167;0.12950666651998333
ABILITIES;145;0.04908798171484474
ABILITIES;448;0.08038157005805828
ABILITY;18;0.015248810680583742
ABILITY;20;0.05446003814494193
ABILITY;72;0.032306802289372334
ABILITY;104;0.012749841706173696
ABILITY;126;0.018067311232919128
ABILITY;164;0.04593015265236067
ABILITY;180;0.024916357321215263
ABILITY;245;0.03812202670145935
ABILITY;265;0.04189233703457072
ABILITY;290;0.02742591849025853
ABILITY;306;0.02742591849025853
ABILITY;397;0.01531005088412022
ABILITY;449;0.05864927184839901
ABILITY;523;0.07942088896137364
ABILITY;539;0.02888032325868133
ABILITY;552;0.022965076326180334
ABILITY;596;0.02978283336051512
ABILITY;636;0.0624951257400973
ABILITY;748;0.014495067186866674
ABILITY;765;0.018416438020028673
ABILITY;828;0.1030325045985388
ABILITY;892;0.011482538163090167
ABILITY;911;0.023678277454322577
ABILITY;1045;0.026846497677084052
ABILITY;1062;0.021297221620927013
ABILITY;1102;0.05446003814494193
ABILITY;1167;0.023678277454322577
ABILITY;1200;0.018596110586077734
ABLE;135;0.031428242134830836
ABLE;137;0.019711572917898285
ABLE;277;0.05836673539325727
ABLE;330;0.06156491267507958
ABLE;397;0.01804915110554542
ABLE;613;0.028444548261270946
ABLE;642;0.0749039770880135
ABLE;702;0.028625723727903247
ABLE;748;0.017088359791942242
ABLE;841;0.0432138329353924
ABLE;982;0.026129294333027964
ABLE;1148;0.03483905911070395
ABLE;1163;0.04363338471146417
ABLE;1218;0.03908033587200704
ABNORMAL;24;0.012825535606189455
ABNORMAL;32;0.04985019499764204
ABNORMAL;59;0.02695979933545947
ABNORMAL;105;0.027811161419737135
ABNORMAL;117;0.025162479379762175
ABNORMAL;135;0.01847594639772747
ABNORMAL;140;0.01459701842472391
ABNORMAL;144;0.01195502413970601
ABNORMAL;150;0.01591602611370499
ABNORMAL;173;0.018221105757758812
ABNORMAL;174;0.027237735411082764
ABNORMAL;192;0.012521612961493025
ABNORMAL;204;0.06444049597256166
ABNORMAL;206;0.019716868170709164
ABNORMAL;210;0.05743609423641365
ABNORMAL;211;0.026159013216584436
ABNORMAL;215;0.008748544155215324
ABNORMAL;230;0.02258171226388913
ABNORMAL;263;0.01957081729537058
ABNORMAL;268;0.009142077283304595
ABNORMAL;276;0.023175967849780946
ABNORMAL;297;0.012288652720348967
ABNORMAL;300;0.06073701919252938
ABNORMAL;312;0.013276685099874513
ABNORMAL;325;0.011794912209263517
ABNORMAL;357;0.03943373634141833
ABNORMAL;364;0.03885382845404453
ABNORMAL;368;0.013618867705541382
ABNORMAL;388;0.03261802882561763
ABNORMAL;398;0.023589824418527035
ABNORMAL;414;0.02903363005357174
ABNORMAL;416;0.01738197588733571
ABNORMAL;430;0.013618867705541382
ABNORMAL;449;0.04064708207500043
ABNORMAL;490;0.02810702483909604
ABNORMAL;496;0.020015608597538093
ABNORMAL;501;0.015450645233187297
ABNORMAL;504;0.01661673166588068
ABNORMAL;519;0.015633493105769395
ABNORMAL;524;0.027811161419737135
ABNORMAL;529;0.014128664892379829
ABNORMAL;539;0.020015608597538093
ABNORMAL;563;0.006305633257458301
ABNORMAL;571;0.021306938184476033
ABNORMAL;594;0.09110552878879406
ABNORMAL;608;0.02919403684944782
ABNORMAL;615;0.015633493105769395
ABNORMAL;617;0.013760730910807437
ABNORMAL;621;0.022776382197198516
ABNORMAL;622;0.012346076331191719
ABNORMAL;623;0.03522747113166704
ABNORMAL;667;0.010201005153957637
ABNORMAL;676;0.007982055392371686
ABNORMAL;691;0.02642060334875028
ABNORMAL;693;0.020641096366211156
ABNORMAL;697;0.03036850959626469
ABNORMAL;715;0.027811161419737135
ABNORMAL;745;0.02271112035709193
ABNORMAL;754;0.01797319955697298
ABNORMAL;781;0.02642060334875028
ABNORMAL;798;0.011242809935638417
ABNORMAL;811;0.024577305440697934
ABNORMAL;814;0.03183205222740998
ABNORMAL;831;0.019145364745471218
ABNORMAL;842;0.01847594639772747
ABNORMAL;856;0.024128404884703452
ABNORMAL;866;0.012175393248272019
ABNORMAL;868;0.013549027358333477
ABNORMAL;872;0.03036850959626469
ABNORMAL;895;0.028562814431081385
ABNORMAL;921;0.04128219273242231
ABNORMAL;930;0.022202187688025444
ABNORMAL;964;0.01986511529981224
ABNORMAL;977;0.04717964883705407
ABNORMAL;978;0.011537381375000122
ABNORMAL;1007;0.042613876368952065
ABNORMAL;1038;0.023175967849780946
ABNORMAL;1043;0.01405351241954802
ABNORMAL;1048;0.013411473781091511
ABNORMAL;1051;0.016936284197916845
ABNORMAL;1057;0.05743609423641365
ABNORMAL;1063;0.04717964883705407
ABNORMAL;1067;0.013689431786917243
ABNORMAL;1072;0.051805104605392706
